Datum,Von,Bis,Ort,Lektoren,Gruppen,Lehrfach,Anmerkung,StundeVon,StundeBis
04.06.2024,18:30:00,21:00:00,V.BSWE.MC,Stefan Neuwirth,BSWE-2B2,Objektorientierte Programmierung,.,12,14
05.06.2024,18:30:00,21:00:00,P.EV.BSWE / V.BSWE.MC,Patrizia Sailer,BSWE-2B2,Formale Grundlagen und Datenbanken,.,12,14
08.06.2024,09:30:00,12:45:00,P.HG.CON8,Patrizia Sailer,BSWE-2B2,Softwaremanagement I,.,2,5
08.06.2024,14:00:00,17:15:00,P.HG.CON8,Patrizia Sailer,BSWE-2B2,Softwaremanagement I,.,7,10
10.06.2024,18:30:00,21:00:00,V.BSWE.MC,Stefan Neuwirth,BSWE-2-FFROPRO,Freifach: Repetitorium Objektorientierte Programmierung,.,12,14
14.06.2024,14:00:00,19:15:00,P.HG.HS3,Elke Szalai,BSWE-2B ,Gesellschaft und Technik,.,7,12
15.06.2024,08:30:00,12:00:00,P.HG.EDV1,Barbara-Edith Sach-Lackner,BSWE-2B2,Objektorientierte Programmierung,.,1,4
15.06.2024,13:00:00,16:30:00,P.HG.CON6,Stephen Morley,BSWE-2B2,Kommunikation Englisch II,.,6,9
20.06.2024,18:30:00,21:00:00,P.EV.BSWE / V.BSWE.MC,Sebastian Saip,BSWE-2B2,Softwaremanagement I,.,12,14
28.06.2024,14:00:00,17:15:00,P.HG.SEM3,Sebastian Saip,BSWE-2B2,Softwaremanagement I,.,7,10
28.06.2024,17:45:00,21:00:00,P.HG.SEM2,Patrizia Sailer,BSWE-2B2,Formale Grundlagen und Datenbanken,.,11,14
06.07.2024,09:30:00,12:45:00,P.HG.EDV2,Barbara-Edith Sach-Lackner,BSWE-2B2,Objektorientierte Programmierung,2AT,2,5
